Periodo,Densa,Moderadamente densa,Muy densa,Muy poco densa,Poco densa
1996,172561.88,44120.26,1641596.67,912.95,10745.97
1998,175552.7,45693.76,1638388.67,909.95,10864.29
1999,173195.75,44648.71,1637685.33,908.77,10866.92
2000,173598.92,45241.25,1636897.0,911.96,11002.95
2001,175357.54,45717.66,1665530.0,908.33,11091.96
2002,177500.58,44984.56,1693221.33,898.87,10930.32
2003,180336.79,45071.93,1740867.33,894.55,10923.57
2004,178291.08,44001.66,1742037.0,897.4,10865.98
2005,181379.4,45005.58,1768907.0,894.67,10949.37
2006,182683.56,45095.57,1764944.33,886.27,10870.16
2007,183013.68,45616.04,1762941.0,893.07,10968.59
2008,185284.12,46115.53,1798542.0,892.65,10988.22
2009,186921.6,46874.92,1815262.0,891.94,11103.98
2010,187619.32,47021.4,1820297.67,888.78,11116.19
2011,184517.35,46641.84,1816172.0,886.85,11149.52
2012,184994.15,46912.47,1807301.0,887.31,11258.11
2013,184594.42,46828.02,1795849.33,870.45,11178.33
2014,183942.65,45866.1,1778178.0,872.05,11179.3
2015,183380.62,46050.23,1771892.0,864.78,11189.1
2016,183417.77,46275.38,1781098.67,853.95,11176.81
2017,183551.88,46376.57,1790930.67,848.86,11205.65
2018,181002.52,46020.23,1804901.0,842.12,11233.02
2019,182055.15,46157.54,1825847.33,832.93,11181.64
2020,183535.07,46448.89,1859124.0,830.74,11217.93
2021,182117.48,46228.8,1839848.33,828.47,11153.88
2022,181829.67,45970.1,1832017.0,832.51,11153.61
2023,184047.63,46381.12,1859513.67,839.09,11235.35
2024,186078.74,47023.55,1903651.67,841.96,11338.09
2025,185797.0,46754.0,1918061.0,841.0,11312.0
2026,185743.0,46752.0,1922110.0,840.0,11309.0
2027,185677.0,46685.0,1922602.0,839.0,11303.0
2028,185620.0,46645.0,1921922.0,838.0,11298.0
